"Mã số kiểm tra","Mã số cơ sở","Tên cơ sở","Năm kiểm tra","Ngày kiểm tra","Kết quả kiểm tra","Nội dung không đạt","Xử phạt","Test 1","Test 2","Test 3","Test 4","Test 5"
test,HQL_HB_BATT_002,"Trường THCS Nguyễn Tri Phương",2019,26.09.2019,"Chưa đạt","Test thôi mà",,"Hàn the:Âm tính","Độ ôi khét dầu mỡ:Âm tính"
KT_HQL_2019_0006,HQL_HC_BATT_001,"Công ty TNHH Việt Hương",2019,26.09.2019,Đạt,,
KT_HQL_2019_0085,HQL_HC_BATT_002,"Nhóm lớp ĐLTT Thùy Dương",2019,26.09.2019,"Chưa đạt",,
KT_HQL_2019_0086,HQL_HC_BATT_003,"Nhóm lớp ĐLTT Lạc Việt",2019,26.09.2019,Đạt,,
KT_HQL_2019_0087,HQL_HC_BATT_005,"Nhóm lớp ĐLTT Ngọc Quyên",2019,26.09.2019,Đạt,,
KT_HQL_2019_0088,HQL_HC_BATT_006,"Nhóm lớp ĐLTT Khai Tâm",2019,26.09.2019,Đạt,,
KT_HQL_2019_0100,HQL_HC_CKBM_002,"bánh Đồng Thiên Phú",2019,26.09.2019,"Chưa đạt","khu sơ chế không đảm bảo vệ sinh","Mời về PTY chờ xử lý"
KT_HQL_2019_0117,HQL_HC_CKBM_003,"Bánh Mỳ Thiện Nhân",2019,26.09.2019,Đạt,,
KT_HQL_2019_0058,HQL_HC_DVAU_002,"Quán Hoa Kế",2019,26.09.2019,"Chưa đạt","Thùng chưa nước thải ko có nắp đậy, thực phẩm chín ko được che đậy, thục phẩm bảo quản trong tủ lạnh chưa đảm bảo","nhắc nhở, khắc phục trong vong 01 ngày","Độ sạch bát đĩa:Âm tính"
KT_HQL_2019_0056,HQL_HC_DVAU_003,"Quán Hoa Đệ",2019,26.09.2019,"Chưa đạt","Tường bếp ko đảm bảo, thùng rác đựng nước thải ko có nắp đậy, chưa có các giấy tờ liên quan đến ATTP, nước thải trực tiếp xuống nền đất","Mời về PYT, chờ xử lý"
KT_HQL_2019_0009,HQL_HK_BATT_002,"Công ty Bảo vệ thực vật Tw",2019,26.09.2019,Đạt,"Sổ kiểm thực 3 buớc chưa đầy đủ","nhắc nhở"
KT_HQL_2019_0008,HQL_HK_BATT_004,"Nhà máy xi mang Miền Trung",2019,26.09.2019,Đạt,,
KT_HQL_2019_0107,HQL_HK_CKBM_001,"Bánh mì Phương Hùng",2019,26.09.2019,"Chưa đạt","Cơ sở thay đổi chủ đề nghị làm lại giấy chứng nhân ATTP cho phù hợp.Khu sản xuất tường chưa đảm bảo","khắc phục trong vòng 15 ngày"
KT_HQL_2019_0108,HQL_HK_CKBM_002,"Bánh mỳ Anh Quân",2019,26.09.2019,Đạt,,
KT_HQL_2019_0106,HQL_HK_CKBM_004,"bánh Mì Minh Vũ",2019,26.09.2019,"Chưa đạt","Tường khu chế biến chưa đảm bảo","khắc phục trong vòng 01 ngày"
KT_HQL_2019_0018,HQL_HK_DVAU_002,"Quán Diệu Hương",2019,26.09.2019,Đạt,,
KT_HQL_2019_0051,HQL_HK_DVAU_003,"Quán 089",2019,26.09.2019,Đạt,,
KT_HQL_2019_0020,HQL_HK_DVCGK_001,"Quán Cafe Việt Thương",2019,26.09.2019,Đạt,,
KT_HQL_2019_0113,HQL_HL_CKBM_002,"Bánh mỳ Phúc",2019,26.09.2019,Đạt,,
